City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,taguatinga,-12.3857,-46.5711,22.43,49,8,2.81,BR,1715234248
159,faya-largeau,17.9257,19.1043,33.65,12,21,3.78,TD,1715234249
160,bubaque,11.2833,-15.8333,26.0,69,79,3.38,GW,1715234249
161,dawesville,30.9224,-84.0091,23.53,96,0,2.57,US,1715234250
162,enewetak,11.3474,162.3373,27.56,79,59,8.66,MH,1715234251
163,boende,-0.2167,20.8667,25.33,83,99,0.52,CD,1715234251
164,tura,25.5198,90.2201,33.57,31,7,2.51,IN,1715234252
165,timbuktu,16.7735,-3.0074,29.93,8,62,1.73,ML,1715234253
166,alice springs,-23.7,133.8833,23.75,38,75,4.63,AU,1715234112
167,ghadamis,30.1337,9.5007,16.97,58,80,3.35,LY,1715234254
168,ancud,-41.8697,-73.8203,9.15,72,99,5.63,CL,1715234255
169,ouahigouya,13.5828,-2.4216,30.82,38,44,3.28,BF,1715234255
170,kruisfontein,-34.0033,24.7314,14.38,80,8,1.6,ZA,1715234256
171,ketchikan,55.3422,-131.6461,9.26,93,100,3.09,US,1715234171
172,kamaishi,39.2667,141.8833,9.17,75,99,1.42,JP,1715234257
173,queenstown,-31.8976,26.8753,16.4,47,9,1.8,ZA,1715234258
174,cabo san lucas,22.8909,-109.9124,24.78,43,43,5.95,MX,1715234144
175,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715234259
176,tofol,5.3248,163.0078,28.19,80,100,7.4,FM,1715234260
177,douentza,14.9951,-2.9517,32.0,34,46,2.54,ML,1715234260
178,east london,-33.0153,27.9116,16.52,100,0,1.03,ZA,1715234261
179,vilyuysk,63.7553,121.6247,-3.89,95,100,4.02,RU,1715234262
180,nouadhibou,20.931,-17.0347,17.99,94,75,6.69,MR,1715234263
181,adler,43.43,39.92,16.09,77,100,2.0,RU,1715234263
182,jayapura,-2.5333,140.7,27.66,83,100,0.76,ID,1715234264
183,dolores,-36.3132,-57.6792,5.6,65,0,4.6,AR,1715234265
184,strathmore,51.0501,-113.3852,9.67,43,99,1.03,CA,1715234265
185,afaahiti,-17.75,-149.2833,25.93,79,77,7.79,PF,1715234266
186,kolonia,50.9333,6.95,12.2,92,100,1.54,DE,1715234266
187,olanchito,15.5,-86.5667,25.91,74,96,1.56,HN,1715234267
188,praia da vitoria,38.7333,-27.0667,16.14,94,20,4.5,PT,1715234267
189,ontario,34.0633,-117.6509,17.12,79,0,2.68,US,1715234138
190,formosa,-26.1775,-58.1781,15.02,83,7,4.51,AR,1715234269
191,aykhal,66.0,111.5,-4.57,75,91,7.16,RU,1715234269
192,ta`u,-14.2336,-169.5144,28.71,80,99,5.96,AS,1715234270
193,susuman,62.7833,148.1667,2.21,68,65,0.45,RU,1715234270
194,horta,38.5333,-28.6333,15.57,87,94,1.79,PT,1715234271
195,kapa'a,22.0752,-159.319,23.18,83,100,4.63,US,1715234272
196,whitehorse,60.7161,-135.0538,7.23,50,75,8.75,CA,1715234272
197,acarau,-2.8856,-40.12,25.07,92,62,4.18,BR,1715234273
198,katsuren-haebaru,26.3369,127.8719,25.43,53,20,5.14,JP,1715234274
199,ballina,-28.8667,153.5667,18.77,64,95,6.11,AU,1715234274
200,quesada,10.3238,-84.4271,23.73,96,94,1.35,CR,1715234275
201,qaqortoq,60.7167,-46.0333,0.7,72,99,2.12,GL,1715234275
202,remire-montjoly,4.9167,-52.2667,26.02,94,100,1.54,GF,1715234276
203,smara,26.7384,-11.6719,23.44,36,100,2.9,EH,1715234277
204,morant bay,17.8815,-76.4093,28.79,87,85,3.39,JM,1715234277
205,berezovyy,51.6667,135.7,11.75,31,72,7.12,RU,1715234278
206,mendi,-6.1761,143.6513,14.92,99,100,0.58,PG,1715234278
207,lompoc,34.6391,-120.4579,12.23,86,0,1.54,US,1715234132
208,kirakira,-10.4544,161.9205,27.36,84,94,3.91,SB,1715234280
209,tazacorte,28.629,-17.9293,20.08,49,0,4.12,ES,1715234280
210,san patricio,28.017,-97.5169,27.69,93,96,3.65,US,1715234281
211,matoury,4.8483,-52.3317,25.98,94,100,1.54,GF,1715234281
212,bredasdorp,-34.5322,20.0403,11.33,88,0,1.74,ZA,1715234282
213,santyoku,37.4406,129.1708,20.81,53,43,1.77,KR,1715234283
214,kedrovka,55.5333,86.05,15.49,30,81,0.69,RU,1715234283
215,sitka,57.0531,-135.33,5.17,94,100,1.94,US,1715234284
216,kaihua,23.3687,104.28,22.6,68,98,5.35,CN,1715234284
217,opuwo,-18.0607,13.84,21.95,54,60,1.94,NA,1715234285
218,labrador city,52.9463,-66.9114,-2.12,69,0,0.0,CA,1715234286
219,olinda,-8.0089,-34.8553,24.85,100,75,1.54,BR,1715234286
220,portland,45.5234,-122.6762,14.96,54,20,3.6,US,1715234124
221,sisimiut,66.9395,-53.6735,-6.24,80,23,3.6,GL,1715234287
222,lagos,6.5833,3.75,27.18,86,88,0.77,NG,1715234262
223,barcelos,41.5388,-8.6151,18.16,62,99,2.81,PT,1715234289
224,fort mcmurray,56.7268,-111.381,10.77,37,0,4.12,CA,1715234056
225,bethanie,-26.4833,17.15,20.36,32,42,2.19,NA,1715234290
226,hadibu,12.65,54.0333,30.47,62,30,0.64,YE,1715234290
227,kuta,-8.7233,115.1723,30.0,79,20,8.94,ID,1715234291
228,rebrikha,53.0733,82.3408,20.22,38,71,3.23,RU,1715234291
229,tete,-16.1564,33.5867,23.05,73,20,1.54,MZ,1715234292
230,carutapera,-1.195,-46.02,24.47,93,86,1.63,BR,1715234293
